compression,eb,data,metric,decompression error
pmc,0.1,ettm2,corr,0.9942391514778136
pmc,0.15,ettm2,corr,0.9881771802902222
pmc,0.2,ettm2,corr,0.9794628620147704
pmc,0.25,ettm2,corr,0.96847003698349
pmc,0.3,ettm2,corr,0.9523281455039978
pmc,0.4,ettm2,corr,0.9203317761421204
pmc,0.5,ettm2,corr,0.8936833739280701
pmc,0.65,ettm2,corr,0.8710453510284424
pmc,0.8,ettm2,corr,0.8533484935760498
swing,0.01,ettm2,corr,0.9999328851699828
swing,0.03,ettm2,corr,0.9993506669998168
swing,0.05,ettm2,corr,0.997998058795929
swing,0.07,ettm2,corr,0.9960508346557616
swing,0.1,ettm2,corr,0.9912720322608948
swing,0.15,ettm2,corr,0.9793646335601808
swing,0.2,ettm2,corr,0.9624103307724
swing,0.25,ettm2,corr,0.942121148109436
swing,0.3,ettm2,corr,0.9247986674308776
swing,0.4,ettm2,corr,0.8699657320976257
swing,0.5,ettm2,corr,0.8114516735076904
swing,0.65,ettm2,corr,0.6777495741844177
swing,0.8,ettm2,corr,0.4818280935287475
sz,0.01,solar,mae,0.022573709487915
sz,0.03,solar,mae,0.0291593372821807
sz,0.05,solar,mae,0.0575105547904968
sz,0.07,solar,mae,0.109355129301548
sz,0.1,solar,mae,0.1187331229448318
sz,0.15,solar,mae,0.2245640754699707
sz,0.2,solar,mae,0.2374612987041473
sz,0.25,solar,mae,0.4273669123649597
sz,0.3,solar,mae,0.443366676568985
sz,0.4,solar,mae,0.4820616245269775
sz,0.5,solar,mae,0.8392094373703003
sz,0.65,solar,mae,0.9598940014839172
sz,0.8,solar,mae,1.1238726377487185
pmc,0.01,solar,mae,0.0097022410482168
pmc,0.03,solar,mae,0.049112819135189
pmc,0.05,solar,mae,0.0916137173771858
pmc,0.07,solar,mae,0.1319906264543533
pmc,0.1,solar,mae,0.1882669776678085
pmc,0.15,solar,mae,0.2689678072929382
pmc,0.2,solar,mae,0.3363646864891052
pmc,0.25,solar,mae,0.3933992981910705
pmc,0.3,solar,mae,0.4407404065132141
pmc,0.4,solar,mae,0.5383777618408203
pmc,0.5,solar,mae,0.6135038137435913
pmc,0.65,solar,mae,0.7136856317520142
pmc,0.8,solar,mae,0.8000022172927856
swing,0.01,solar,mae,0.0141346575692296
swing,0.03,solar,mae,0.0551228933036327
swing,0.05,solar,mae,0.1003720387816429
swing,0.07,solar,mae,0.148692786693573
swing,0.1,solar,mae,0.2247989177703857
swing,0.15,solar,mae,0.356578916311264
swing,0.2,solar,mae,0.4941412806510925
swing,0.25,solar,mae,0.6326013803482056
swing,0.3,solar,mae,0.7692326903343201
swing,0.4,solar,mae,0.9755663275718688
swing,0.5,solar,mae,1.1346702575683594
swing,0.65,solar,mae,1.5571829080581665
swing,0.8,solar,mae,2.480262041091919
sz,0.01,solar,rmse,0.0545819997787475
sz,0.03,solar,rmse,0.0826446935534477
sz,0.05,solar,rmse,0.1545471251010894
sz,0.07,solar,rmse,0.2774616181850433
sz,0.1,solar,rmse,0.3125497102737427
sz,0.15,solar,rmse,0.5632122755050659
sz,0.2,solar,rmse,0.6142089366912842
sz,0.25,solar,rmse,1.0511462688446045
sz,0.3,solar,rmse,1.1025217771530151
sz,0.4,solar,rmse,1.257684350013733
sz,0.5,solar,rmse,2.045973539352417
sz,0.65,solar,rmse,2.4139962196350098
sz,0.8,solar,rmse,3.040115594863892
pmc,0.01,solar,rmse,0.041441187262535
pmc,0.03,solar,rmse,0.1516006737947464
pmc,0.05,solar,rmse,0.2553616762161255
pmc,0.07,solar,rmse,0.349265843629837
pmc,0.1,solar,rmse,0.4769603013992309
pmc,0.15,solar,rmse,0.6603488326072693
pmc,0.2,solar,rmse,0.8158581256866455
pmc,0.25,solar,rmse,0.9478194117546082
pmc,0.3,solar,rmse,1.0621368885040283
pmc,0.4,solar,rmse,1.2874764204025269
pmc,0.5,solar,rmse,1.46156644821167
pmc,0.65,solar,rmse,1.6916807889938354
pmc,0.8,solar,rmse,1.891912817955017
swing,0.01,solar,rmse,0.0474377460777759
swing,0.03,solar,rmse,0.1590970903635025
swing,0.05,solar,rmse,0.27571901679039
swing,0.07,solar,rmse,0.3968226611614227
swing,0.1,solar,rmse,0.5841233134269714
swing,0.15,solar,rmse,0.9069567322731018
swing,0.2,solar,rmse,1.238040566444397
swing,0.25,solar,rmse,1.578173041343689
swing,0.3,solar,rmse,1.908042430877685
swing,0.4,solar,rmse,2.377768039703369
swing,0.5,solar,rmse,2.736485719680786
swing,0.65,solar,rmse,3.693185567855835
swing,0.8,solar,rmse,5.683918476104736
sz,0.01,solar,nrmse,0.0006763568962924
sz,0.03,solar,nrmse,0.0010240979027003
sz,0.05,solar,nrmse,0.0019150822190567
sz,0.07,solar,nrmse,0.0034381861332803
sz,0.1,solar,nrmse,0.003872982924804
sz,0.15,solar,nrmse,0.0069790869019925
sz,0.2,solar,nrmse,0.0076110158115625
sz,0.25,solar,nrmse,0.0130253573879599
sz,0.3,solar,nrmse,0.0136619806289672
sz,0.4,solar,nrmse,0.0155846886336803
sz,0.5,solar,nrmse,0.0253528337925672
sz,0.65,solar,nrmse,0.0299132131040096
sz,0.8,solar,nrmse,0.0376718193292617
pmc,0.01,solar,nrmse,0.0005135215469636
pmc,0.03,solar,nrmse,0.0018785709980875
pmc,0.05,solar,nrmse,0.0031643330585211
pmc,0.07,solar,nrmse,0.0043279537931084
pmc,0.1,solar,nrmse,0.0059102890081703
pmc,0.15,solar,nrmse,0.008182761259377
pmc,0.2,solar,nrmse,0.0101097663864493
pmc,0.25,solar,nrmse,0.011744974181056
pmc,0.3,solar,nrmse,0.0131615484133362
pmc,0.4,solar,nrmse,0.0159538593143224
pmc,0.5,solar,nrmse,0.0181111097335815
pmc,0.65,solar,nrmse,0.0209625884890556
pmc,0.8,solar,nrmse,0.023443778976798
swing,0.01,solar,nrmse,0.0005878283409401
swing,0.03,solar,nrmse,0.0019714634399861
swing,0.05,solar,nrmse,0.003416592720896
swing,0.07,solar,nrmse,0.0049172574654221
swing,0.1,solar,nrmse,0.0072382073849439
swing,0.15,solar,nrmse,0.0112386215478181
swing,0.2,solar,nrmse,0.0153412716463208
swing,0.25,solar,nrmse,0.0195560492575168
swing,0.3,solar,nrmse,0.0236436501145362
swing,0.4,solar,nrmse,0.0294642895460128
swing,0.5,solar,nrmse,0.0339093655347824
swing,0.65,solar,nrmse,0.0457643829286098
swing,0.8,solar,nrmse,0.0704327002167701
sz,0.01,solar,rse,0.0061292494647204
sz,0.03,solar,rse,0.0092805316671729
sz,0.05,solar,rse,0.0173547677695751
sz,0.07,solar,rse,0.0311573706567287
sz,0.1,solar,rse,0.0350975655019283
sz,0.15,solar,rse,0.0632455497980117
sz,0.2,solar,rse,0.0689721927046775
sz,0.25,solar,rse,0.1180377751588821
sz,0.3,solar,rse,0.1238069683313369
sz,0.4,solar,rse,0.1412308514118194
sz,0.5,solar,rse,0.229751244187355
sz,0.65,solar,rse,0.2710781097412109
sz,0.8,solar,rse,0.3413878083229065
pmc,0.01,solar,rse,0.0046536107547581
pmc,0.03,solar,rse,0.0170238986611366
pmc,0.05,solar,rse,0.0286756716668605
pmc,0.07,solar,rse,0.0392205789685249
pmc,0.1,solar,rse,0.0535599440336227
pmc,0.15,solar,rse,0.0741534382104873
pmc,0.2,solar,rse,0.0916162505745887
pmc,0.25,solar,rse,0.1064347624778747
pmc,0.3,solar,rse,0.1192719712853431
pmc,0.4,solar,rse,0.1445763111114502
pmc,0.5,solar,rse,0.1641256511211395
pmc,0.65,solar,rse,0.1899661868810653
pmc,0.8,solar,rse,0.2124511003494262
swing,0.01,solar,rse,0.0053269905038177
swing,0.03,solar,rse,0.0178657043725252
swing,0.05,solar,rse,0.0309616886079311
swing,0.07,solar,rse,0.0445609390735626
swing,0.1,solar,rse,0.0655937418341636
swing,0.15,solar,rse,0.1018461138010025
swing,0.2,solar,rse,0.139024943113327
swing,0.25,solar,rse,0.1772199124097824
swing,0.3,solar,rse,0.214262381196022
swing,0.4,solar,rse,0.2670098841190338
swing,0.5,solar,rse,0.3072918653488159
swing,0.65,solar,rse,0.4147238433361053
swing,0.8,solar,rse,0.6382718682289124
sz,0.01,solar,corr,0.9999803900718688
sz,0.03,solar,corr,0.9999679327011108
sz,0.05,solar,corr,0.9999026656150818
sz,0.07,solar,corr,0.9997525215148926
sz,0.1,solar,corr,0.999622106552124
sz,0.15,solar,corr,0.9989724159240724
sz,0.2,solar,corr,0.9986396431922911
sz,0.25,solar,corr,0.9967262744903564
sz,0.3,solar,corr,0.9962086081504822
sz,0.4,solar,corr,0.9948007464408876
sz,0.5,solar,corr,0.9882217645645142
sz,0.65,solar,corr,0.9870558977127076
sz,0.8,solar,corr,0.9836475849151612
pmc,0.01,solar,corr,0.9999885559082032
pmc,0.03,solar,corr,0.9998443126678468
pmc,0.05,solar,corr,0.9995617270469666
pmc,0.07,solar,corr,0.9991824626922609
pmc,0.1,solar,corr,0.9984705448150636
pmc,0.15,solar,corr,0.9970727562904358
pmc,0.2,solar,corr,0.995486319065094
pmc,0.25,solar,corr,0.9938793182373048
pmc,0.3,solar,corr,0.99235600233078
pmc,0.4,solar,corr,0.9886202812194824
pmc,0.5,solar,corr,0.9852842688560486
pmc,0.65,solar,corr,0.9801369309425354
pmc,0.8,solar,corr,0.9750655889511108
swing,0.01,solar,corr,0.999984860420227
swing,0.03,solar,corr,0.9998380541801452
swing,0.05,solar,corr,0.9995337724685668
swing,0.07,solar,corr,0.9990661144256592
swing,0.1,solar,corr,0.998039722442627
