,eb,eblc,metric,value,model,tfe,data,te_metric,te
40,0.027,pmc,mae,0.3217532336711883,dlinear,0.13436632192649894,weather,nrmse,0.0435536205768585
40,0.027,pmc,mae,0.3217532336711883,dlinear,0.13436632192649894,weather,rse,0.2860614061355591
40,0.027,pmc,mae,0.3217532336711883,dlinear,0.13436632192649894,weather,corr,0.958211362361908
41,0.027,pmc,mae,0.3148717284202575,gru,0.1707085298327305,weather,mae,3.773116111755371
41,0.027,pmc,mae,0.3148717284202575,gru,0.1707085298327305,weather,rmse,4.655881881713867
41,0.027,pmc,mae,0.3148717284202575,gru,0.1707085298327305,weather,nrmse,0.0435536205768585
41,0.027,pmc,mae,0.3148717284202575,gru,0.1707085298327305,weather,rse,0.2860614061355591
41,0.027,pmc,mae,0.3148717284202575,gru,0.1707085298327305,weather,corr,0.958211362361908
42,0.027,pmc,mae,0.3174332976341247,informer,0.12830680478822576,weather,mae,3.773116111755371
42,0.027,pmc,mae,0.3174332976341247,informer,0.12830680478822576,weather,rmse,4.655881881713867
42,0.027,pmc,mae,0.3174332976341247,informer,0.12830680478822576,weather,nrmse,0.0435536205768585
42,0.027,pmc,mae,0.3174332976341247,informer,0.12830680478822576,weather,rse,0.2860614061355591
42,0.027,pmc,mae,0.3174332976341247,informer,0.12830680478822576,weather,corr,0.958211362361908
43,0.027,pmc,mae,0.3331769853830337,nbeats,0.14654466191415583,weather,mae,3.773116111755371
43,0.027,pmc,mae,0.3331769853830337,nbeats,0.14654466191415583,weather,rmse,4.655881881713867
43,0.027,pmc,mae,0.3331769853830337,nbeats,0.14654466191415583,weather,nrmse,0.0435536205768585
43,0.027,pmc,mae,0.3331769853830337,nbeats,0.14654466191415583,weather,rse,0.2860614061355591
43,0.027,pmc,mae,0.3331769853830337,nbeats,0.14654466191415583,weather,corr,0.958211362361908
44,0.027,pmc,mae,0.3609584718942642,transformer,0.13947960396991155,weather,mae,3.773116111755371
44,0.027,pmc,mae,0.3609584718942642,transformer,0.13947960396991155,weather,rmse,4.655881881713867
44,0.027,pmc,mae,0.3609584718942642,transformer,0.13947960396991155,weather,nrmse,0.0435536205768585
44,0.027,pmc,mae,0.3609584718942642,transformer,0.13947960396991155,weather,rse,0.2860614061355591
44,0.027,pmc,mae,0.3609584718942642,transformer,0.13947960396991155,weather,corr,0.958211362361908
45,0.03,pmc,mae,0.3330038189888,dlinear,0.16361188907505914,weather,mae,4.08013391494751
45,0.03,pmc,mae,0.3330038189888,dlinear,0.16361188907505914,weather,rmse,5.060812950134277
45,0.03,pmc,mae,0.3330038189888,dlinear,0.16361188907505914,weather,nrmse,0.0473415628075599
45,0.03,pmc,mae,0.3330038189888,dlinear,0.16361188907505914,weather,rse,0.3109407126903534
45,0.03,pmc,mae,0.3330038189888,dlinear,0.16361188907505914,weather,corr,0.950429379940033
46,0.03,pmc,mae,0.3240595459938049,gru,0.1942208097127419,weather,mae,4.08013391494751
46,0.03,pmc,mae,0.3240595459938049,gru,0.1942208097127419,weather,rmse,5.060812950134277
46,0.03,pmc,mae,0.3240595459938049,gru,0.1942208097127419,weather,nrmse,0.0473415628075599
46,0.03,pmc,mae,0.3240595459938049,gru,0.1942208097127419,weather,rse,0.3109407126903534
46,0.03,pmc,mae,0.3240595459938049,gru,0.1942208097127419,weather,corr,0.950429379940033
47,0.03,pmc,mae,0.325659841299057,informer,0.15032678153521678,weather,mae,4.08013391494751
47,0.03,pmc,mae,0.325659841299057,informer,0.15032678153521678,weather,rmse,5.060812950134277
47,0.03,pmc,mae,0.325659841299057,informer,0.15032678153521678,weather,nrmse,0.0473415628075599
