error,compression,data,eb,metrics,forecasting error,model,compression ratio
0.2563336491584778,pmc,ettm1,0.15,mae,0.11204112321138382,nbeats,8.32
0.2563336491584778,pmc,ettm1,0.15,rmse,0.14739451557397842,nbeats,8.32
0.26896780729293823,pmc,solar,0.15,data_corr,0.9970727562904358,nbeats,6.27
0.26896780729293823,pmc,solar,0.15,nrmse,0.08287975958785702,nbeats,6.27
0.26896780729293823,pmc,solar,0.15,rse,0.35751202891700085,nbeats,6.27
0.26896780729293823,pmc,solar,0.15,corr,0.9357080959493428,nbeats,6.27
0.26896780729293823,pmc,solar,0.15,mae,0.17326257958742303,nbeats,6.27
0.26896780729293823,pmc,solar,0.15,rmse,0.3067557004907125,nbeats,6.27
0.2971934080123901,pmc,ettm2,0.05,rse,0.267522394657135,nbeats,5.06
0.2971934080123901,pmc,ettm2,0.05,nrmse,0.04905388504266739,nbeats,5.06
0.2971934080123901,pmc,ettm2,0.05,corr,0.9652499854564668,nbeats,5.06
0.2971934080123901,pmc,ettm2,0.05,mae,0.12018420547246933,nbeats,5.06
0.2971934080123901,pmc,ettm2,0.05,data_corr,0.9983851909637452,nbeats,5.06
0.2971934080123901,pmc,ettm2,0.05,rmse,0.16473715752363205,nbeats,5.06
0.3128253221511841,swing,ettm1,0.15,corr,0.942643254995346,nbeats,3.51
0.3128253221511841,swing,ettm1,0.15,rmse,0.14443553984165192,nbeats,3.51
0.3128253221511841,swing,ettm1,0.15,mae,0.11187520250678062,nbeats,3.51
0.3128253221511841,swing,ettm1,0.15,nrmse,0.07161300256848335,nbeats,3.51
